ac_number,constituency,party_21,vote_pct_21,region,reserved,party_26,vote_pct_26,margin,flipped,vote_pct_diff,rank
36,Uthiramerur,DMK,44.58,North,GEN,TVK,37.47,14223,True,7.11,100
17,Royapuram,DMK,53.56,Chennai Metro,GEN,TVK,46.57,14249,True,6.99,101
53,Krishnagiri,AIADMK,45.78,North,GEN,TVK,39.02,18844,True,6.76,102
193,Madurai Central,DMK,49.47,South,GEN,TVK,42.87,19128,True,6.6,103
122,Kinathukadavu,AIADMK,44.12,Kongu,GEN,TVK,37.55,11710,True,6.57,104
28,Alandur,DMK,49.51,Chennai Metro,GEN,TVK,43.1,29609,True,6.41,105
65,Kalasapakkam,DMK,48.31,North,GEN,AIADMK,41.94,26740,True,6.37,106
186,Sivaganga,AIADMK,40.92,South,GEN,TVK,34.62,15081,True,6.3,107
218,Kovilpatti,AIADMK,38.13,South,GEN,DMK,31.83,843,True,6.3,108
219,Sankarankovil,DMK,39.34,South,SC,AIADMK,33.11,6489,True,6.23,109
14,Villivakkam,DMK,53.37,Chennai Metro,GEN,TVK,47.21,17302,True,6.16,110
12,Perambur,DMK,52.93,Chennai Metro,GEN,TVK,59.07,53715,True,6.14,111
101,Dharapuram,DMK,46.85,Kongu,SC,AIADMK,40.78,16727,True,6.07,112
152,Vriddhachalam,INC,39.32,Central,GEN,DMDK,33.27,2387,True,6.05,113
202,Rajapalayam,DMK,41.94,South,GEN,TVK,35.96,10605,True,5.98,114
149,Ariyalur,DMK,46.45,Central,GEN,AIADMK,40.48,24498,True,5.97,115
32,Chengalpattu,DMK,48.18,Chennai Metro,GEN,TVK,42.51,35641,True,5.67,116
89,Salem (North),DMK,46.52,Central,GEN,TVK,40.91,14034,True,5.61,117
99,Erode (West),DMK,49.49,Kongu,GEN,TVK,43.99,22250,True,5.5,118
199,Periyakulam,DMK,46.28,South,SC,TVK,40.85,19321,True,5.43,119
223,Alangulam,AIADMK,36.77,South,GEN,DMK,31.46,7798,True,5.31,120
90,Salem (South),AIADMK,49.22,Central,GEN,TVK,44.11,33369,True,5.11,121
21,Anna Nagar,DMK,48.95,Chennai Metro,GEN,TVK,43.96,21363,True,4.99,122
27,Shozhinganallur,DMK,44.52,Chennai Metro,GEN,TVK,49.5,96780,True,4.98,123
5,Poonamallee,DMK,57.34,Chennai Metro,SC,TVK,52.49,72740,True,4.85,124
141,Tiruchirapalli (East),DMK,55.04,Delta,GEN,TVK,50.22,27416,True,4.82,125
26,Velachery,INC,39.15,Chennai Metro,GEN,TVK,43.84,33305,True,4.69,126
31,Tambaram,DMK,47.36,Chennai Metro,GEN,TVK,42.9,35621,True,4.46,127
203,Srivilliputhur,AIADMK,38.43,South,SC,TVK,34.09,8581,True,4.34,128
197,Usilampatti,AIADMK,33.69,South,GEN,TVK,29.43,1805,True,4.26,129
7,Maduravoyal,DMK,44.64,Chennai Metro,GEN,TVK,48.5,61509,True,3.86,130
227,Nanguneri,INC,39.74,South,GEN,TVK,35.91,16419,True,3.83,131
120,Coimbatore South,BJP,34.58,Kongu,GEN,DMK,38.35,2271,True,3.77,132
117,Kavundampalayam,AIADMK,44.19,Kongu,GEN,TVK,40.47,42140,True,3.72,133
2,Ponneri,INC,45.27,Chennai Metro,SC,TVK,48.88,55768,True,3.61,134
8,Ambattur,DMK,48.14,Chennai Metro,GEN,TVK,51.58,58781,True,3.44,135
109,Gudalur,AIADMK,47.0,Kongu,SC,DMK,43.62,22833,True,3.38,136
42,Arcot,DMK,50.06,North,GEN,AIADMK,46.91,42720,True,3.15,137
96,Tiruchengode,DMK,44.6,Central,GEN,TVK,41.71,28172,True,2.89,138
175,Orathanad,AIADMK,47.16,Delta,GEN,DMK,44.57,35028,True,2.59,139
88,Salem (West),PMK,49.07,Central,GEN,TVK,51.6,74867,True,2.53,140
11,Dr. Radhakrishnan Nagar,DMK,51.67,Chennai Metro,GEN,TVK,54.14,49668,True,2.47,141
71,Mailam,PMK,46.02,Central,GEN,AIADMK,43.59,30041,True,2.43,142
9,Madavaram,DMK,50.41,Chennai Metro,GEN,TVK,52.82,94985,True,2.41,143
114,Tiruppur (South),DMK,43.59,Kongu,GEN,TVK,41.19,12901,True,2.4,144
24,Theayagaraya Nagar,DMK,41.05,Chennai Metro,GEN,TVK,38.81,13027,True,2.24,145
121,Singanallur,AIADMK,40.5,Kongu,GEN,TVK,38.31,19139,True,2.19,146
6,Avadi,DMK,50.34,Chennai Metro,GEN,TVK,52.37,76311,True,2.03,147
113,Tiruppur (North),AIADMK,48.06,Kongu,GEN,TVK,50.08,69992,True,2.02,148
191,Madurai North,DMK,47.11,South,GEN,TVK,45.24,18038,True,1.87,149
25,Mylapore,DMK,44.95,Chennai Metro,GEN,TVK,46.77,28972,True,1.82,150
98,Erode (East),INC,44.72,Kongu,GEN,TVK,43.17,23966,True,1.55,151
192,Madurai South,DMK,42.94,South,GEN,TVK,44.3,21529,True,1.36,152
194,Madurai West,AIADMK,41.96,South,GEN,TVK,40.95,11931,True,1.01,153
29,Sriperumbudur,INC,44.01,Chennai Metro,SC,TVK,44.74,54246,True,0.73,154
195,Thiruparankundram,AIADMK,44.35,South,GEN,TVK,44.95,41553,True,0.6,155
118,Coimbatore North,AIADMK,40.5,Kongu,GEN,TVK,41.09,21992,True,0.59,156
23,Saidapet,DMK,50.38,Chennai Metro,GEN,TVK,50.92,28514,True,0.54,157
30,Pallavaram,DMK,47.84,Chennai Metro,GEN,TVK,47.37,54693,True,0.47,158
50,Tiruppattur,DMK,52.37,North,GEN,TVK,51.91,48263,True,0.46,159
33,Thiruporur,VCK,41.8,North,GEN,TVK,42.16,39351,True,0.36,160
217,Ottapidaram,DMK,41.48,South,SC,TVK,41.81,29083,True,0.33,161
22,Virugampakkam,DMK,44.38,Chennai Metro,GEN,TVK,44.29,27086,True,0.09,162
214,Thoothukkudi,DMK,49.41,South,GEN,TVK,49.32,37731,True,0.09,163
