ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes,vote_share,region,reserved
52,BARGUR,Anitha Mayaperumal,IND,IND,143.0,FD,214129.0,213329.0,0.07,North,GEN
53,KRISHNAGIRI,Suganthi,NTK,S,6398.0,FD,231023.0,229045.0,2.79,North,GEN
53,KRISHNAGIRI,Mangammal,TMK,U,336.0,FD,231023.0,229045.0,0.15,North,GEN
53,KRISHNAGIRI,Muthulakshmi Veerappan,tavk,U,366.0,FD,231023.0,229045.0,0.16,North,GEN
57,PALACODU,Palaniyammal. M.,TMK,U,155.0,FD,225496.0,223965.0,0.07,North,GEN
58,PENNAGARAM,Palaniyammal. T.,NTK,S,7358.0,FD,228907.0,227992.0,3.23,North,GEN
58,PENNAGARAM,Tamilselvi. S.,IND,IND,263.0,FD,228907.0,227992.0,0.12,North,GEN
58,PENNAGARAM,Poomani. P.,IND,IND,533.0,FD,228907.0,227992.0,0.23,North,GEN
59,DHARMAPURI,Shanthalakshmi. K.,NTK,S,6758.0,FD,238742.0,237638.0,2.84,North,GEN
59,DHARMAPURI,Sivagami. G.,TMK,U,382.0,FD,238742.0,237638.0,0.16,North,GEN
59,DHARMAPURI,Sowmiya Anbumani,PMK,U,93713.0,W,238742.0,237638.0,39.44,North,GEN
60,PAPPIREDDIPATTI,Archana Tamilaruvi,NTK,S,5216.0,FD,237164.0,235944.0,2.21,North,GEN
60,PAPPIREDDIPATTI,Maragatham Vetrivel,ADMK,S,101829.0,W,237164.0,235944.0,43.16,North,GEN
60,PAPPIREDDIPATTI,Thilagavathi. S,TVK,U,57619.0,L,237164.0,235944.0,24.42,North,GEN
60,PAPPIREDDIPATTI,Jamunarani. M,NADLMMKLK,U,187.0,FD,237164.0,235944.0,0.08,North,GEN
61,HARUR,Anitha. A,NTK,S,5245.0,FD,220303.0,219260.0,2.39,North,SC
61,HARUR,Karuthammal. S,NADLMMKLK,U,487.0,FD,220303.0,219260.0,0.22,North,SC
61,HARUR,Manila. S,tavk,U,213.0,FD,220303.0,219260.0,0.1,North,SC
62,CHENGAM,J.shoba,NTK,S,6335.0,FD,243703.0,241783.0,2.62,North,SC
62,CHENGAM,C.malathi,tavk,U,84.0,FD,243703.0,241783.0,0.03,North,SC
