ac_number,male_electors_21,female_electors_21,tg_electors_21,total_electors_21,male_voters_21,female_voters_21,tg_voters_21,total_voters_21,turnout_21,male_turnout_21,female_turnout_21,gender_gap_21,male_electors_26,female_electors_26,tg_electors_26,total_electors_26,male_voters_26,female_voters_26,tg_voters_26,total_voters_26,turnout_26,male_turnout_26,female_turnout_26,gender_gap_26,constituency,region,reserved,district,male_delta,female_delta,gap_change,female_surge,gap_flipped
225,119071,125928,4,245003,84861,91372,1,178361,72.8,71.27,72.56,1.29,110714,117520,12,228246,89271,99450,10,191613,83.95,80.63,84.62,3.99,Ambasamudram,South,GEN,Tirunelveli,9.36,12.06,2.7,2.7,False
226,134129,139408,20,273557,78287,79548,1,161357,58.98,58.37,57.06,-1.31,125093,132387,18,257498,84519,92797,5,181061,70.32,67.56,70.1,2.54,Palayamcottai,South,GEN,Tirunelveli,9.19,13.04,3.85,3.85,True
227,136628,141228,9,277865,92795,97633,1,193137,69.51,67.92,69.13,1.21,126747,130720,13,257480,98912,107442,8,209548,81.38,78.04,82.19,4.15,Nanguneri,South,GEN,Tirunelveli,10.12,13.06,2.94,2.94,False
228,133143,137603,14,270760,88066,96329,2,187651,69.31,66.14,70.01,3.87,121832,125455,23,247310,92325,105228,14,200446,81.05,75.78,83.88,8.1,Radhapuram,South,GEN,Tirunelveli,9.64,13.87,4.23,4.23,False
229,145894,147651,112,293657,107912,113215,7,225573,76.82,73.97,76.68,2.71,142753,146714,94,289561,110849,124085,58,239978,82.88,77.65,84.58,6.93,Kanniyakumari,South,GEN,Kanniyakumari,3.68,7.9,4.22,4.22,False
230,133909,136925,11,270845,90207,91075,2,184444,68.1,67.36,66.51,-0.85,127154,132197,10,259361,91964,101342,3,196545,75.78,72.32,76.66,4.34,Nagercoil,South,GEN,Kanniyakumari,4.96,10.15,5.19,5.19,True
231,137311,131961,15,269287,89276,91149,0,183747,68.23,65.02,69.07,4.05,133550,132504,1,266055,91595,104579,1,199711,75.06,68.58,78.93,10.35,Colachel,South,GEN,Kanniyakumari,3.56,9.86,6.3,6.3,False
232,122413,118412,28,240853,82491,85054,1,171599,71.25,67.39,71.83,4.44,119087,118070,3,237160,83637,94077,3,181648,76.59,70.23,79.68,9.45,Padmanabhapuram,South,GEN,Kanniyakumari,2.84,7.85,5.01,5.01,False
233,123622,126416,27,250065,81342,84317,0,168593,67.42,65.8,66.7,0.9,114567,114127,3,228697,80934,90663,2,175453,76.72,70.64,79.44,8.8,Vilavancode,South,GEN,Kanniyakumari,4.84,12.74,7.9,7.9,False
234,129688,125640,19,255347,82234,84524,0,170395,66.73,63.41,67.27,3.86,125668,121606,15,247289,80449,94382,1,178628,72.23,64.02,77.61,13.59,Killiyoor,South,GEN,Kanniyakumari,0.61,10.34,9.73,9.73,False
