ac_number,constituency,region,reserved,turnout_21,turnout_26,delta
163,Nagapattinam,Delta,GEN,72.57,86.71,14.14
164,Kilvelur,Delta,SC,80.2,88.93,8.73
165,Vedaranyam,Delta,GEN,82.09,86.64,4.55
166,Thiruthuraipundi,Delta,SC,77.49,84.22,6.73
167,Mannargudi,Delta,GEN,75.06,82.78,7.72
168,Thiruvarur,Delta,GEN,73.74,83.8,10.06
169,Nannilam,Delta,GEN,81.62,86.55,4.93
170,Thiruvidamarudur,Delta,SC,76.52,81.5,4.98
171,Kumbakonam,Delta,GEN,72.37,81.92,9.55
172,Papanasam,Delta,GEN,75.53,81.0,5.47
173,Thiruvaiyaru,Delta,GEN,78.92,85.93,7.01
174,Thanjavur,Delta,GEN,67.02,78.72,11.7
175,Orathanad,Delta,GEN,79.03,83.62,4.59
176,Pattukkottai,Delta,GEN,72.51,75.95,3.44
177,Peravurani,Delta,GEN,77.62,82.46,4.84
178,Gandharvakottai,Delta,SC,78.19,85.6,7.41
179,Viralimalai,Delta,GEN,86.41,90.6,4.19
180,Pudukkottai,Delta,GEN,74.09,84.34,10.25
181,Thirumayam,Delta,GEN,76.39,82.85,6.46
182,Alangudi,Delta,GEN,79.08,85.13,6.05
183,Arantangi,Delta,GEN,70.91,79.53,8.62
184,Karaikudi,South,GEN,67.31,75.01,7.7
185,Tiruppattur,South,GEN,72.8,78.27,5.47
186,Sivaganga,South,GEN,67.35,77.07,9.72
187,Manamadurai,South,SC,73.04,80.36,7.32
188,Melur,South,GEN,74.83,82.94,8.11
189,Madurai East,South,GEN,72.28,80.77,8.49
190,Sholavandan,South,SC,80.2,87.87,7.67
191,Madurai North,South,GEN,64.39,73.15,8.76
192,Madurai South,South,GEN,64.29,78.66,14.37
193,Madurai Central,South,GEN,61.82,74.46,12.64
194,Madurai West,South,GEN,65.81,78.66,12.85
195,Thiruparankundram,South,GEN,73.5,82.11,8.61
196,Thirumangalam,South,GEN,79.03,88.06,9.03
197,Usilampatti,South,GEN,74.35,83.85,9.5
198,Andipatti,South,GEN,75.4,84.38,8.98
199,Periyakulam,South,SC,70.83,79.35,8.52
200,Bodinayakanur,South,GEN,77.18,83.63,6.45
201,Cumbum,South,GEN,70.35,82.03,11.68
202,Rajapalayam,South,GEN,74.75,85.36,10.61
203,Srivilliputhur,South,SC,74.14,86.09,11.95
204,Sattur,South,GEN,75.78,86.48,10.7
205,Sivakasi,South,GEN,70.7,84.74,14.04
206,Virudhunagar,South,GEN,72.19,83.87,11.68
207,Aruppukottai,South,GEN,76.83,85.84,9.01
208,Tiruchuli,South,GEN,78.11,88.31,10.2
209,Paramakudi,South,SC,71.22,80.82,9.6
210,Tiruvadanai,South,GEN,69.47,77.59,8.12
211,Ramanathapuram,South,GEN,69.56,76.07,6.51
212,Mudukulathur,South,GEN,71.18,77.2,6.02
213,Vilathikulam,South,GEN,77.45,85.19,7.74
214,Thoothukkudi,South,GEN,66.09,81.73,15.64
215,Tiruchendur,South,GEN,71.34,79.95,8.61
216,Srivaikuntam,South,GEN,73.62,82.28,8.66
217,Ottapidaram,South,SC,70.72,80.33,9.61
218,Kovilpatti,South,GEN,68.34,80.25,11.91
219,Sankarankovil,South,SC,72.28,82.7,10.42
220,Vasudevanallur,South,SC,72.76,83.02,10.26
221,Kadayanallur,South,GEN,70.93,82.44,11.51
