ac_number,constituency,nota_21,region,nota_26,tot_21,tot_26,nota_pct_21,nota_pct_26,nota_delta
108,Udhagamandalam,1376,Kongu,1525,141102,148704,0.975,1.026,0.051
109,Gudalur,1017,Kongu,871,138257,151241,0.736,0.576,-0.16
110,Coonoor,1188,Kongu,720,135908,141394,0.874,0.509,-0.365
111,Mettupalayam,2733,Kongu,839,225083,244319,1.214,0.343,-0.871
112,Avanashi,2372,Kongu,1563,212627,231600,1.116,0.675,-0.441
113,Tiruppur (North),2162,Kongu,1078,238092,263457,0.908,0.409,-0.499
114,Tiruppur (South),1142,Kongu,644,174418,179814,0.655,0.358,-0.297
115,Palladam,1802,Kongu,1417,261511,301014,0.689,0.471,-0.218
116,Sulur,2610,Kongu,1353,241653,273544,1.08,0.495,-0.585
117,Kavundampalayam,2892,Kongu,2116,309918,363991,0.933,0.581,-0.352
118,Coimbatore North,1701,Kongu,1020,202799,226109,0.839,0.451,-0.388
119,Thondamuthur,1635,Kongu,1000,230531,258549,0.709,0.387,-0.322
120,Coimbatore South,901,Kongu,759,154765,156499,0.582,0.485,-0.097
121,Singanallur,1432,Kongu,1346,202021,221033,0.709,0.609,-0.1
122,Kinathukadavu,2280,Kongu,1717,232435,267917,0.981,0.641,-0.34
123,Pollachi,1546,Kongu,849,177308,181196,0.872,0.469,-0.403
124,Valparai,1415,Kongu,675,145172,150431,0.975,0.449,-0.526
125,Udumalpet,1478,Kongu,1149,194358,203575,0.76,0.564,-0.196
126,Madathukulam,1048,Kongu,911,181902,188249,0.576,0.484,-0.092
127,Palani,1110,South,750,205384,208619,0.54,0.36,-0.18
128,Oddanchatram,1457,South,1491,201756,201624,0.722,0.739,0.017
129,Athoor,1564,South,812,229940,237183,0.68,0.342,-0.338
130,Nilakottai,1260,South,642,184805,197593,0.682,0.325,-0.357
131,Natham,1444,South,596,225244,239140,0.641,0.249,-0.392
132,Dindigul,1807,South,833,195118,212024,0.926,0.393,-0.533
133,Vedasandur,803,South,474,213080,226554,0.377,0.209,-0.168
134,Aravakurichi,869,Kongu,637,177114,181078,0.491,0.352,-0.139
135,Karur,961,Kongu,539,207310,216829,0.464,0.249,-0.215
136,Krishnarayapuram,1177,Kongu,525,180902,189357,0.651,0.277,-0.374
137,Kulithalai,1191,Kongu,612,197456,209091,0.603,0.293,-0.31
138,Manapparai,1009,Delta,949,221748,241216,0.455,0.393,-0.062
139,Srirangam,2417,Delta,929,240240,254985,1.006,0.364,-0.642
140,Tiruchirapalli (West),2117,Delta,1098,183099,196347,1.156,0.559,-0.597
141,Tiruchirapalli (East),1535,Delta,514,172856,182493,0.888,0.282,-0.606
142,Thiruverambur,1418,Delta,745,197013,213583,0.72,0.349,-0.371
143,Lalgudi,1200,Delta,390,174754,185213,0.687,0.211,-0.476
144,Manachanallur,1067,Delta,599,196719,209780,0.542,0.286,-0.256
145,Musiri,1092,Delta,1093,179706,189141,0.608,0.578,-0.03
146,Thuraiyur,1594,Delta,697,175876,184426,0.906,0.378,-0.528
147,Perambalur,1884,Central,1160,240026,253654,0.785,0.457,-0.328
148,Kunnam,753,Central,484,219879,230570,0.342,0.21,-0.132
149,Ariyalur,1386,Central,641,225225,235858,0.615,0.272,-0.343
150,Jayankondam,1861,Central,416,216368,228548,0.86,0.182,-0.678
151,Tittakudi,999,Central,584,168184,175754,0.594,0.332,-0.262
152,Vriddhachalam,761,Central,755,196734,209186,0.387,0.361,-0.026
153,Neyveli,1171,Central,768,164130,168780,0.713,0.455,-0.258
154,Panruti,1323,Central,907,197049,210767,0.671,0.43,-0.241
155,Cuddalore,1236,Central,894,182001,190378,0.679,0.47,-0.209
156,Kurinjipadi,1212,Central,629,198781,213965,0.61,0.294,-0.316
157,Bhuvanagiri,1058,Central,681,197165,207310,0.537,0.328,-0.209
