ac_number,male_t,female_t,gap,winning_party,wp,constituency,region,reserved
115,91.62,89.62,-2.0,TVK,TVK,Palladam,Kongu,GEN
116,88.36,88.18,-0.18,TVK,TVK,Sulur,Kongu,GEN
117,84.88,86.11,1.23,TVK,TVK,Kavundampalayam,Kongu,GEN
118,74.73,76.29,1.56,TVK,TVK,Coimbatore North,Kongu,GEN
119,87.3,87.72,0.42,AIADMK,AIADMK,Thondamuthur,Kongu,GEN
120,81.85,82.38,0.53,DMK,DMK,Coimbatore South,Kongu,GEN
121,80.95,81.18,0.23,TVK,TVK,Singanallur,Kongu,GEN
122,86.91,87.25,0.34,TVK,TVK,Kinathukadavu,Kongu,GEN
123,89.29,87.0,-2.29,DMK,DMK,Pollachi,Kongu,GEN
124,86.48,85.47,-1.01,DMK,DMK,Valparai,Kongu,SC
125,87.93,86.85,-1.08,DMK,DMK,Udumalpet,Kongu,GEN
126,86.87,86.76,-0.11,DMK,DMK,Madathukulam,Kongu,GEN
127,86.74,85.7,-1.04,AIADMK,AIADMK,Palani,South,GEN
128,90.53,90.96,0.43,DMK,DMK,Oddanchatram,South,GEN
129,88.5,89.95,1.45,DMK,DMK,Athoor,South,GEN
130,87.58,89.0,1.42,TVK,TVK,Nilakottai,South,SC
131,89.62,92.17,2.55,AIADMK,AIADMK,Natham,South,GEN
132,86.27,86.27,0.0,DMK,DMK,Dindigul,South,GEN
133,91.1,92.99,1.89,DMK,DMK,Vedasandur,South,GEN
134,90.88,92.56,1.68,DMK,DMK,Aravakurichi,Kongu,GEN
135,92.58,94.1,1.52,AIADMK,AIADMK,Karur,Kongu,GEN
136,91.75,93.05,1.3,TVK,TVK,Krishnarayapuram,Kongu,SC
137,92.2,93.21,1.01,DMK,DMK,Kulithalai,Kongu,GEN
138,88.18,89.31,1.13,TVK,TVK,Manapparai,Delta,GEN
139,87.47,88.22,0.75,TVK,TVK,Srirangam,Delta,GEN
140,80.36,82.01,1.65,DMK,DMK,Tiruchirapalli (West),Delta,GEN
141,81.66,81.85,0.19,TVK,TVK,Tiruchirapalli (East),Delta,GEN
142,80.08,82.17,2.09,TVK,TVK,Thiruverambur,Delta,GEN
143,84.04,88.52,4.48,AIADMK,AIADMK,Lalgudi,Delta,GEN
144,86.56,88.63,2.07,DMK,DMK,Manachanallur,Delta,GEN
145,86.06,87.19,1.13,TVK,TVK,Musiri,Delta,GEN
146,84.5,88.38,3.88,TVK,TVK,Thuraiyur,Delta,SC
147,81.89,89.6,7.71,TVK,TVK,Perambalur,Central,SC
148,78.2,91.32,13.12,DMK,DMK,Kunnam,Central,GEN
149,85.63,92.15,6.52,AIADMK,AIADMK,Ariyalur,Central,GEN
150,82.4,89.0,6.6,PMK,PMK,Jayankondam,Central,GEN
151,76.89,89.39,12.5,DMK,DMK,Tittakudi,Central,SC
152,82.59,89.34,6.75,DMDK,Others,Vriddhachalam,Central,GEN
153,86.24,87.85,1.61,AIADMK,AIADMK,Neyveli,Central,GEN
154,85.73,86.39,0.66,AIADMK,AIADMK,Panruti,Central,GEN
155,82.94,84.38,1.44,TVK,TVK,Cuddalore,Central,GEN
156,87.51,90.18,2.67,DMK,DMK,Kurinjipadi,Central,GEN
157,86.07,89.36,3.29,AIADMK,AIADMK,Bhuvanagiri,Central,GEN
158,80.55,86.57,6.02,DMK,DMK,Chidambaram,Central,GEN
159,78.72,85.16,6.44,VCK,VCK,Kattumannarkoil,Central,SC
160,78.89,85.75,6.86,DMK,DMK,Sirkali,Delta,SC
161,77.51,81.56,4.05,INC,INC,Mayiladuthurai,Delta,GEN
162,79.96,88.02,8.06,DMK,DMK,Poompuhar,Delta,GEN
163,81.97,89.47,7.5,DMK,DMK,Nagapattinam,Delta,GEN
164,85.25,90.43,5.18,CPI(M),Others,Kilvelur,Delta,SC
165,79.93,89.91,9.98,AIADMK,AIADMK,Vedaranyam,Delta,GEN
166,79.28,87.35,8.07,CPI,Others,Thiruthuraipundi,Delta,SC
167,77.26,86.48,9.22,AMMK,Others,Mannargudi,Delta,GEN
168,79.79,86.1,6.31,DMK,DMK,Thiruvarur,Delta,GEN
169,82.52,89.03,6.51,AIADMK,AIADMK,Nannilam,Delta,GEN
170,78.48,83.03,4.55,DMK,DMK,Thiruvidamarudur,Delta,SC
171,79.69,82.33,2.64,TVK,TVK,Kumbakonam,Delta,GEN
172,77.53,82.99,5.46,IUML,Others,Papanasam,Delta,GEN
173,84.55,85.56,1.01,DMK,DMK,Thiruvaiyaru,Delta,GEN
174,76.49,78.38,1.89,TVK,TVK,Thanjavur,Delta,GEN
175,77.53,87.79,10.26,DMK,DMK,Orathanad,Delta,GEN
176,68.97,81.03,12.06,DMK,DMK,Pattukkottai,Delta,GEN
177,77.0,86.33,9.33,DMK,DMK,Peravurani,Delta,GEN
178,81.05,88.5,7.45,TVK,TVK,Gandharvakottai,Delta,SC
179,86.88,92.6,5.72,AIADMK,AIADMK,Viralimalai,Delta,GEN
180,80.31,86.1,5.79,DMK,DMK,Pudukkottai,Delta,GEN
181,76.22,87.91,11.69,DMK,DMK,Thirumayam,Delta,GEN
182,78.77,89.77,11.0,DMK,DMK,Alangudi,Delta,GEN
183,73.36,83.96,10.6,TVK,TVK,Arantangi,Delta,GEN
184,69.26,78.82,9.56,TVK,TVK,Karaikudi,South,GEN
185,70.76,83.89,13.13,TVK,TVK,Tiruppattur,South,GEN
186,69.19,82.29,13.1,TVK,TVK,Sivaganga,South,GEN
187,74.69,82.92,8.23,TVK,TVK,Manamadurai,South,SC
188,75.78,88.44,12.66,INC,INC,Melur,South,GEN
189,79.07,80.27,1.2,TVK,TVK,Madurai East,South,GEN
190,86.18,87.56,1.38,TVK,TVK,Sholavandan,South,SC
191,72.07,72.29,0.22,TVK,TVK,Madurai North,South,GEN
192,78.2,78.17,-0.03,TVK,TVK,Madurai South,South,GEN
193,74.18,73.55,-0.63,TVK,TVK,Madurai Central,South,GEN
194,77.2,78.21,1.01,TVK,TVK,Madurai West,South,GEN
195,80.92,81.63,0.71,TVK,TVK,Thiruparankundram,South,GEN
196,84.44,88.3,3.86,DMK,DMK,Thirumangalam,South,GEN
197,80.03,84.81,4.78,TVK,TVK,Usilampatti,South,GEN
198,81.2,85.13,3.93,DMK,DMK,Andipatti,South,GEN
199,78.21,78.45,0.24,TVK,TVK,Periyakulam,South,SC
200,80.52,84.26,3.74,DMK,DMK,Bodinayakanur,South,GEN
201,79.06,82.31,3.25,TVK,TVK,Cumbum,South,GEN
202,82.37,85.99,3.62,TVK,TVK,Rajapalayam,South,GEN
203,82.76,86.48,3.72,TVK,TVK,Srivilliputhur,South,SC
204,83.32,87.29,3.97,DMK,DMK,Sattur,South,GEN
205,83.26,84.76,1.5,TVK,TVK,Sivakasi,South,GEN
206,81.24,83.98,2.74,TVK,TVK,Virudhunagar,South,GEN
207,82.17,86.91,4.74,DMK,DMK,Aruppukottai,South,GEN
208,84.92,89.17,4.25,DMK,DMK,Tiruchuli,South,GEN
209,73.63,85.16,11.53,DMK,DMK,Paramakudi,South,SC
210,69.83,83.66,13.83,TVK,TVK,Tiruvadanai,South,GEN
211,69.6,81.01,11.41,DMK,DMK,Ramanathapuram,South,GEN
212,71.47,80.87,9.4,DMK,DMK,Mudukulathur,South,GEN
213,82.03,85.87,3.84,DMK,DMK,Vilathikulam,South,GEN
214,80.16,81.5,1.34,TVK,TVK,Thoothukkudi,South,GEN
215,76.97,80.63,3.66,DMK,DMK,Tiruchendur,South,GEN
216,79.49,82.15,2.66,TVK,TVK,Srivaikuntam,South,GEN
217,77.95,80.01,2.06,TVK,TVK,Ottapidaram,South,SC
218,76.5,81.62,5.12,DMK,DMK,Kovilpatti,South,GEN
219,78.15,83.16,5.01,AIADMK,AIADMK,Sankarankovil,South,SC
220,77.46,84.97,7.51,DMK,DMK,Vasudevanallur,South,SC
221,75.3,87.11,11.81,DMK,DMK,Kadayanallur,South,GEN
222,80.64,83.82,3.18,DMK,DMK,Tenkasi,South,GEN
223,84.16,86.08,1.92,DMK,DMK,Alangulam,South,GEN
224,77.53,78.62,1.09,TVK,TVK,Tirunelveli,South,GEN
225,80.63,84.62,3.99,AIADMK,AIADMK,Ambasamudram,South,GEN
226,67.56,70.1,2.54,DMK,DMK,Palayamcottai,South,GEN
227,78.04,82.19,4.15,TVK,TVK,Nanguneri,South,GEN
228,75.78,83.88,8.1,TVK,TVK,Radhapuram,South,GEN
229,77.65,84.58,6.93,AIADMK,AIADMK,Kanniyakumari,South,GEN
230,72.32,76.66,4.34,DMK,DMK,Nagercoil,South,GEN
231,68.58,78.93,10.35,INC,INC,Colachel,South,GEN
232,70.23,79.68,9.45,CPI(M),Others,Padmanabhapuram,South,GEN
233,70.64,79.44,8.8,INC,INC,Vilavancode,South,GEN
234,64.02,77.61,13.59,INC,INC,Killiyoor,South,GEN
