ac_number,constituency,party,party_canonical,candidate,votes,runner_votes,total_valid,vote_pct,winner_pct,margin,margin_pct,region,reserved,year
213,Vilathikulam,DMK,DMK,MARKANDAYAN G V,58395,50167,174172,33.53,33.53,8228,4.72,South,GEN,2026
214,Thoothukkudi,TVK,TVK,SRINATH,100536,62805,203859,49.32,49.32,37731,18.51,South,GEN,2026
215,Tiruchendur,DMK,DMK,ANITHA R. RADHAKRISHNAN,72723,66851,185328,39.24,39.24,5872,3.17,South,GEN,2026
216,Srivaikuntam,TVK,TVK,SARAVANAN. G,58814,57628,175842,33.45,33.45,1186,0.67,South,GEN,2026
217,Ottapidaram,TVK,TVK,P .MATHANRAJA,81625,52542,195238,41.81,41.81,29083,14.9,South,SC,2026
218,Kovilpatti,DMK,DMK,KARUNANITHI.K,61643,60800,193639,31.83,31.83,843,0.44,South,GEN,2026
219,Sankarankovil,AIADMK,AIADMK,DR. DHILIPAN JAISHANKAR,64865,58376,195920,33.11,33.11,6489,3.31,South,SC,2026
220,Vasudevanallur,DMK,DMK,E. RAJA,63045,56462,189158,33.33,33.33,6583,3.48,South,SC,2026
221,Kadayanallur,DMK,DMK,RAJENDRAN. T. M,79832,73579,221424,36.05,36.05,6253,2.82,South,GEN,2026
222,Tenkasi,DMK,DMK,DR.KALAI KATHIRAVAN,79699,69400,234314,34.01,34.01,10299,4.4,South,GEN,2026
223,Alangulam,DMK,DMK,PAUL MANOJ PANDIAN,69170,61372,219875,31.46,31.46,7798,3.55,South,GEN,2026
224,Tirunelveli,TVK,TVK,MURUGHAN.R.S.,75840,64426,217708,34.84,34.84,11414,5.24,South,GEN,2026
225,Ambasamudram,AIADMK,AIADMK,DR.ESAKKI SUBAYA,65589,55344,190135,34.5,34.5,10245,5.39,South,GEN,2026
226,Palayamkottai,DMK,DMK,M.ABDUL WAHAB,79744,65939,179769,44.36,44.36,13805,7.68,South,GEN,2026
227,Nanguneri,TVK,TVK,REDDIARPATTI V. NARAYANAN,74952,58533,208698,35.91,35.91,16419,7.87,South,GEN,2026
228,Radhapuram,TVK,TVK,DR.SATHISH CHRISTOPHER,69947,57634,199462,35.07,35.07,12313,6.17,South,GEN,2026
229,Kanniyakumari,AIADMK,AIADMK,THALAVAI SUNDARAM. N,75045,74831,238325,31.49,31.49,214,0.09,South,GEN,2026
230,Nagercoil,DMK,DMK,AUSTIN,69880,62310,195833,35.68,35.68,7570,3.87,South,GEN,2026
231,Colachal,INC,INC,THARAHAI CUTHBERT,66207,63374,198432,33.37,33.37,2833,1.43,South,GEN,2026
232,Padmanabhapuram,CPI(M),CPI(M),CHELLASWAMY. R,68938,53369,179940,38.31,38.31,15569,8.65,South,GEN,2026
233,Vilavancode,INC,INC,PRAVEEN T.T,70755,49785,174099,40.64,40.64,20970,12.04,South,GEN,2026
234,Killiyoor,INC,INC,RAJESH KUMAR. S,66434,65123,177032,37.53,37.53,1311,0.74,South,GEN,2026
