ac_number,region,party_grp,votes,total_ac,vote_pct,year
23,Chennai Metro,AIADMK,50786,160327,31.677,2021
23,Chennai Metro,DMK,80194,160327,50.019,2021
23,Chennai Metro,NOTA,1158,160327,0.722,2021
23,Chennai Metro,NTK,10717,160327,6.684,2021
23,Chennai Metro,Others,17472,160327,10.898,2021
24,Chennai Metro,AIADMK,55898,138114,40.472,2021
24,Chennai Metro,DMK,56035,138114,40.572,2021
24,Chennai Metro,NOTA,1617,138114,1.171,2021
24,Chennai Metro,NTK,8284,138114,5.998,2021
24,Chennai Metro,Others,16280,138114,11.787,2021
25,Chennai Metro,AIADMK,55759,153430,36.342,2021
25,Chennai Metro,DMK,68392,153430,44.575,2021
25,Chennai Metro,NOTA,1287,153430,0.839,2021
25,Chennai Metro,NTK,10124,153430,6.598,2021
25,Chennai Metro,Others,17868,153430,11.646,2021
26,Chennai Metro,AIADMK,64141,176714,36.297,2021
26,Chennai Metro,INC,68493,176714,38.759,2021
26,Chennai Metro,NOTA,1742,176714,0.986,2021
26,Chennai Metro,NTK,14171,176714,8.019,2021
26,Chennai Metro,Others,28167,176714,15.939,2021
27,Chennai Metro,AIADMK,136153,388355,35.059,2021
27,Chennai Metro,DMK,171558,388355,44.176,2021
27,Chennai Metro,NOTA,3030,388355,0.78,2021
27,Chennai Metro,NTK,38872,388355,10.009,2021
27,Chennai Metro,Others,38742,388355,9.976,2021
28,Chennai Metro,AIADMK,76214,237751,32.056,2021
28,Chennai Metro,DMK,116785,237751,49.121,2021
28,Chennai Metro,NOTA,1888,237751,0.794,2021
28,Chennai Metro,NTK,16506,237751,6.943,2021
28,Chennai Metro,Others,26358,237751,11.086,2021
29,Chennai Metro,AIADMK,104474,264262,39.534,2021
29,Chennai Metro,INC,115353,264262,43.651,2021
29,Chennai Metro,NOTA,2139,264262,0.809,2021
29,Chennai Metro,NTK,22034,264262,8.338,2021
29,Chennai Metro,Others,20262,264262,7.667,2021
30,Chennai Metro,AIADMK,88646,266194,33.301,2021
30,Chennai Metro,DMK,126427,266194,47.494,2021
30,Chennai Metro,NOTA,1945,266194,0.731,2021
30,Chennai Metro,NTK,21362,266194,8.025,2021
30,Chennai Metro,Others,27814,266194,10.449,2021
31,Chennai Metro,AIADMK,80016,248968,32.139,2021
31,Chennai Metro,DMK,116840,248968,46.93,2021
31,Chennai Metro,NOTA,2284,248968,0.917,2021
31,Chennai Metro,NTK,19494,248968,7.83,2021
31,Chennai Metro,Others,30334,248968,12.184,2021
32,Chennai Metro,AIADMK,103908,274087,37.911,2021
32,Chennai Metro,DMK,130573,274087,47.639,2021
32,Chennai Metro,NOTA,3075,274087,1.122,2021
32,Chennai Metro,NTK,26868,274087,9.803,2021
32,Chennai Metro,Others,9663,274087,3.526,2021
33,North,NOTA,1982,226729,0.874,2021
33,North,NTK,20428,226729,9.01,2021
33,North,Others,18358,226729,8.097,2021
33,North,PMK,92007,226729,40.58,2021
33,North,VCK,93954,226729,41.439,2021
34,North,AIADMK,78708,179120,43.941,2021
34,North,NOTA,1141,179120,0.637,2021
34,North,NTK,9653,179120,5.389,2021
34,North,Others,6868,179120,3.834,2021
34,North,VCK,82750,179120,46.198,2021
35,North,AIADMK,86646,185842,46.623,2021
35,North,DMK,83076,185842,44.702,2021
35,North,NOTA,1371,185842,0.738,2021
35,North,NTK,9293,185842,5.0,2021
35,North,Others,5456,185842,2.936,2021
36,North,AIADMK,91805,210529,43.607,2021
36,North,DMK,93427,210529,44.377,2021
36,North,NOTA,952,210529,0.452,2021
36,North,NTK,11405,210529,5.417,2021
36,North,Others,12940,210529,6.146,2021
37,North,DMK,102712,229432,44.768,2021
37,North,NOTA,2539,229432,1.107,2021
37,North,NTK,13946,229432,6.078,2021
37,North,Others,19118,229432,8.333,2021
37,North,PMK,91117,229432,39.714,2021
38,North,AIADMK,85399,171412,49.821,2021
38,North,NOTA,1656,171412,0.966,2021
38,North,NTK,14631,171412,8.536,2021
38,North,Others,11496,171412,6.707,2021
38,North,VCK,58230,171412,33.971,2021
39,North,INC,110228,224109,49.185,2021
39,North,NOTA,1239,224109,0.553,2021
39,North,NTK,9656,224109,4.309,2021
39,North,Others,19456,224109,8.681,2021
39,North,PMK,83530,224109,37.272,2021
40,North,AIADMK,84394,186246,45.313,2021
40,North,DMK,85140,186246,45.714,2021
40,North,NOTA,1889,186246,1.014,2021
40,North,NTK,10449,186246,5.61,2021
40,North,Others,4374,186246,2.349,2021
41,North,AIADMK,86793,207462,41.836,2021
41,North,DMK,103291,207462,49.788,2021
41,North,NOTA,1632,207462,0.787,2021
41,North,NTK,10234,207462,4.933,2021
41,North,Others,5512,207462,2.657,2021
42,North,DMK,103885,209791,49.518,2021
42,North,NOTA,2253,209791,1.074,2021
42,North,NTK,12088,209791,5.762,2021
42,North,Others,7638,209791,3.641,2021
42,North,PMK,83927,209791,40.005,2021
43,North,AIADMK,75118,179899,41.756,2021
43,North,DMK,84299,179899,46.859,2021
43,North,NOTA,1441,179899,0.801,2021
43,North,NTK,8530,179899,4.742,2021
43,North,Others,10511,179899,5.843,2021
44,North,AIADMK,88799,197805,44.892,2021
44,North,DMK,95159,197805,48.107,2021
44,North,NOTA,1791,197805,0.905,2021
44,North,NTK,8125,197805,4.108,2021
44,North,Others,3931,197805,1.987,2021
45,North,AIADMK,84579,174124,48.574,2021
45,North,DMK,73997,174124,42.497,2021
45,North,NOTA,1798,174124,1.033,2021
45,North,NTK,10027,174124,5.759,2021
45,North,Others,3723,174124,2.138,2021
46,North,AIADMK,93511,211630,44.186,2021
46,North,DMK,100412,211630,47.447,2021
46,North,NOTA,1699,211630,0.803,2021
46,North,NTK,11834,211630,5.592,2021
46,North,Others,4174,211630,1.972,2021
47,North,AIADMK,88018,189997,46.326,2021
47,North,NOTA,1492,189997,0.785,2021
47,North,NTK,11226,189997,5.909,2021
47,North,Others,89261,189997,46.98,2021
48,North,AIADMK,70244,177878,39.49,2021
48,North,DMK,90476,177878,50.864,2021
48,North,NOTA,1417,177878,0.797,2021
48,North,NTK,10150,177878,5.706,2021
48,North,Others,5591,177878,3.143,2021
49,North,AIADMK,88399,196358,45.019,2021
49,North,DMK,89490,196358,45.575,2021
49,North,NOTA,1337,196358,0.681,2021
49,North,NTK,13328,196358,6.788,2021
49,North,Others,3804,196358,1.937,2021
50,North,DMK,96522,185930,51.913,2021
50,North,NOTA,1632,185930,0.878,2021
50,North,NTK,12127,185930,6.522,2021
50,North,Others,7367,185930,3.962,2021
50,North,PMK,68282,185930,36.725,2021
51,North,AIADMK,99675,188223,52.956,2021
51,North,INC,71288,188223,37.874,2021
