ac_number,region,party_grp,votes,total_ac,vote_pct,year
6,Chennai Metro,NOTA,1533,346005,0.443,2026
6,Chennai Metro,NTK,16335,346005,4.721,2026
6,Chennai Metro,Others,4075,346005,1.178,2026
6,Chennai Metro,TVK,180384,346005,52.133,2026
7,Chennai Metro,AIADMK,54705,293692,18.627,2026
7,Chennai Metro,DMK,80216,293692,27.313,2026
7,Chennai Metro,NOTA,1462,293692,0.498,2026
7,Chennai Metro,NTK,13024,293692,4.435,2026
7,Chennai Metro,Others,2560,293692,0.872,2026
7,Chennai Metro,TVK,141725,293692,48.256,2026
8,Chennai Metro,DMK,74558,259986,28.678,2026
8,Chennai Metro,NOTA,1490,259986,0.573,2026
8,Chennai Metro,NTK,11088,259986,4.265,2026
8,Chennai Metro,Others,3514,259986,1.352,2026
8,Chennai Metro,PMK,35997,259986,13.846,2026
8,Chennai Metro,TVK,133339,259986,51.287,2026
9,Chennai Metro,AIADMK,59290,361998,16.379,2026
9,Chennai Metro,DMK,95477,361998,26.375,2026
9,Chennai Metro,NOTA,1394,361998,0.385,2026
9,Chennai Metro,NTK,12637,361998,3.491,2026
9,Chennai Metro,Others,2738,361998,0.756,2026
9,Chennai Metro,TVK,190462,361998,52.614,2026
10,Chennai Metro,AIADMK,28320,207088,13.675,2026
10,Chennai Metro,CPI(M),56503,207088,27.285,2026
10,Chennai Metro,NOTA,805,207088,0.389,2026
10,Chennai Metro,NTK,8413,207088,4.063,2026
10,Chennai Metro,Others,2980,207088,1.439,2026
10,Chennai Metro,TVK,110067,207088,53.15,2026
11,Chennai Metro,AIADMK,26892,181206,14.841,2026
11,Chennai Metro,DMK,48132,181206,26.562,2026
11,Chennai Metro,NOTA,561,181206,0.31,2026
11,Chennai Metro,NTK,5364,181206,2.96,2026
11,Chennai Metro,Others,2457,181206,1.356,2026
11,Chennai Metro,TVK,97800,181206,53.972,2026
12,Chennai Metro,DMK,66650,204384,32.61,2026
12,Chennai Metro,NOTA,601,204384,0.294,2026
12,Chennai Metro,NTK,5114,204384,2.502,2026
12,Chennai Metro,Others,3093,204384,1.513,2026
12,Chennai Metro,PMK,8561,204384,4.189,2026
12,Chennai Metro,TVK,120365,204384,58.892,2026
13,Chennai Metro,AIADMK,18430,184051,10.014,2026
13,Chennai Metro,DMK,74202,184051,40.316,2026
13,Chennai Metro,NOTA,892,184051,0.485,2026
13,Chennai Metro,NTK,5046,184051,2.742,2026
13,Chennai Metro,Others,2484,184051,1.35,2026
13,Chennai Metro,TVK,82997,184051,45.095,2026
14,Chennai Metro,AIADMK,19338,141452,13.671,2026
14,Chennai Metro,DMK,49143,141452,34.742,2026
14,Chennai Metro,NOTA,695,141452,0.491,2026
14,Chennai Metro,NTK,4310,141452,3.047,2026
14,Chennai Metro,Others,1521,141452,1.075,2026
14,Chennai Metro,TVK,66445,141452,46.974,2026
15,Chennai Metro,AIADMK,23304,143903,16.194,2026
15,Chennai Metro,DMK,46792,143903,32.516,2026
15,Chennai Metro,NOTA,527,143903,0.366,2026
15,Chennai Metro,NTK,2658,143903,1.847,2026
15,Chennai Metro,Others,1497,143903,1.04,2026
15,Chennai Metro,TVK,69125,143903,48.036,2026
16,Chennai Metro,AIADMK,18191,119738,15.192,2026
16,Chennai Metro,DMK,43097,119738,35.993,2026
16,Chennai Metro,NOTA,695,119738,0.58,2026
16,Chennai Metro,NTK,2522,119738,2.106,2026
16,Chennai Metro,Others,1332,119738,1.112,2026
16,Chennai Metro,TVK,53901,119738,45.016,2026
17,Chennai Metro,AIADMK,18420,127356,14.463,2026
17,Chennai Metro,DMK,44842,127356,35.21,2026
17,Chennai Metro,NOTA,459,127356,0.36,2026
17,Chennai Metro,NTK,2947,127356,2.314,2026
17,Chennai Metro,Others,1597,127356,1.254,2026
17,Chennai Metro,TVK,59091,127356,46.398,2026
18,Chennai Metro,AIADMK,17256,99622,17.321,2026
18,Chennai Metro,DMK,45254,99622,45.426,2026
18,Chennai Metro,NOTA,600,99622,0.602,2026
18,Chennai Metro,NTK,1607,99622,1.613,2026
18,Chennai Metro,Others,1401,99622,1.406,2026
18,Chennai Metro,TVK,33504,99622,33.631,2026
19,Chennai Metro,AIADMK,16507,140741,11.729,2026
19,Chennai Metro,DMK,62992,140741,44.757,2026
19,Chennai Metro,NOTA,643,140741,0.457,2026
19,Chennai Metro,NTK,2971,140741,2.111,2026
19,Chennai Metro,Others,1776,140741,1.262,2026
19,Chennai Metro,TVK,55852,140741,39.684,2026
20,Chennai Metro,AIADMK,23320,131824,17.69,2026
20,Chennai Metro,DMK,43824,131824,33.244,2026
20,Chennai Metro,NOTA,815,131824,0.618,2026
20,Chennai Metro,NTK,3717,131824,2.82,2026
20,Chennai Metro,Others,1183,131824,0.897,2026
20,Chennai Metro,TVK,58965,131824,44.73,2026
21,Chennai Metro,AIADMK,34382,163339,21.049,2026
21,Chennai Metro,DMK,50012,163339,30.619,2026
21,Chennai Metro,NOTA,963,163339,0.59,2026
21,Chennai Metro,NTK,4839,163339,2.963,2026
21,Chennai Metro,Others,1768,163339,1.082,2026
21,Chennai Metro,TVK,71375,163339,43.697,2026
22,Chennai Metro,AIADMK,38767,172831,22.431,2026
22,Chennai Metro,DMK,49006,172831,28.355,2026
22,Chennai Metro,NOTA,1030,172831,0.596,2026
22,Chennai Metro,NTK,6056,172831,3.504,2026
22,Chennai Metro,Others,1880,172831,1.088,2026
22,Chennai Metro,TVK,76092,172831,44.027,2026
23,Chennai Metro,DMK,52691,160401,32.85,2026
23,Chennai Metro,NOTA,924,160401,0.576,2026
23,Chennai Metro,NTK,5918,160401,3.69,2026
23,Chennai Metro,Others,19663,160401,12.259,2026
23,Chennai Metro,TVK,81205,160401,50.626,2026
24,Chennai Metro,AIADMK,38605,133928,28.825,2026
24,Chennai Metro,DMK,37017,133928,27.639,2026
24,Chennai Metro,NOTA,878,133928,0.656,2026
24,Chennai Metro,NTK,4554,133928,3.4,2026
24,Chennai Metro,Others,1242,133928,0.927,2026
24,Chennai Metro,TVK,51632,133928,38.552,2026
25,Chennai Metro,BJP,32328,150594,21.467,2026
25,Chennai Metro,DMK,41098,150594,27.291,2026
25,Chennai Metro,NOTA,770,150594,0.511,2026
25,Chennai Metro,NTK,4499,150594,2.988,2026
25,Chennai Metro,Others,1829,150594,1.215,2026
25,Chennai Metro,TVK,70070,150594,46.529,2026
26,Chennai Metro,AIADMK,47125,184815,25.498,2026
26,Chennai Metro,INC,45928,184815,24.851,2026
26,Chennai Metro,NOTA,1336,184815,0.723,2026
26,Chennai Metro,NTK,7697,184815,4.165,2026
26,Chennai Metro,Others,2299,184815,1.244,2026
26,Chennai Metro,TVK,80430,184815,43.519,2026
27,Chennai Metro,AIADMK,74112,447295,16.569,2026
27,Chennai Metro,DMK,123602,447295,27.633,2026
27,Chennai Metro,NOTA,2079,447295,0.465,2026
27,Chennai Metro,NTK,21919,447295,4.9,2026
27,Chennai Metro,Others,5201,447295,1.163,2026
27,Chennai Metro,TVK,220382,447295,49.27,2026
28,Chennai Metro,AIADMK,52243,261570,19.973,2026
28,Chennai Metro,DMK,82596,261570,31.577,2026
28,Chennai Metro,NOTA,1263,261570,0.483,2026
28,Chennai Metro,NTK,10405,261570,3.978,2026
28,Chennai Metro,Others,2858,261570,1.093,2026
28,Chennai Metro,TVK,112205,261570,42.897,2026
29,Chennai Metro,AIADMK,73182,331088,22.103,2026
29,Chennai Metro,INC,93365,331088,28.199,2026
29,Chennai Metro,NOTA,1161,331088,0.351,2026
29,Chennai Metro,NTK,13150,331088,3.972,2026
29,Chennai Metro,Others,2619,331088,0.791,2026
29,Chennai Metro,TVK,147611,331088,44.584,2026
30,Chennai Metro,AIADMK,48921,283677,17.245,2026
30,Chennai Metro,NOTA,1602,283677,0.565,2026
30,Chennai Metro,NTK,14065,283677,4.958,2026
30,Chennai Metro,Others,85478,283677,30.132,2026
30,Chennai Metro,TVK,133611,283677,47.1,2026
31,Chennai Metro,AIADMK,61991,278809,22.234,2026
31,Chennai Metro,DMK,83346,278809,29.894,2026
31,Chennai Metro,NOTA,1512,278809,0.542,2026
31,Chennai Metro,NTK,11627,278809,4.17,2026
31,Chennai Metro,Others,1366,278809,0.49,2026
31,Chennai Metro,TVK,118967,278809,42.67,2026
32,Chennai Metro,AIADMK,69763,324010,21.531,2026
32,Chennai Metro,DMK,101495,324010,31.325,2026
32,Chennai Metro,NOTA,1395,324010,0.431,2026
32,Chennai Metro,NTK,12032,324010,3.713,2026
32,Chennai Metro,Others,2189,324010,0.676,2026
32,Chennai Metro,TVK,137136,324010,42.325,2026
33,North,NOTA,1248,262409,0.476,2026
33,North,NTK,9616,262409,3.665,2026
33,North,Others,3314,262409,1.263,2026
33,North,PMK,67392,262409,25.682,2026
33,North,TVK,110095,262409,41.955,2026
33,North,VCK,70744,262409,26.959,2026
34,North,AIADMK,63809,187584,34.016,2026
34,North,NOTA,783,187584,0.417,2026
34,North,NTK,4853,187584,2.587,2026
34,North,Others,2089,187584,1.114,2026
34,North,TVK,58141,187584,30.995,2026
34,North,VCK,57909,187584,30.871,2026
35,North,AIADMK,69284,198251,34.948,2026
35,North,DMK,59838,198251,30.183,2026
35,North,NOTA,797,198251,0.402,2026
35,North,NTK,4950,198251,2.497,2026
35,North,Others,1292,198251,0.652,2026
35,North,TVK,62090,198251,31.319,2026
36,North,DMK,70694,227765,31.038,2026
36,North,NOTA,1114,227765,0.489,2026
36,North,NTK,5783,227765,2.539,2026
36,North,Others,2448,227765,1.075,2026
36,North,PMK,62809,227765,27.576,2026
36,North,TVK,84917,227765,37.283,2026
37,North,AIADMK,75862,246317,30.799,2026
37,North,DMK,69344,246317,28.152,2026
37,North,NOTA,1078,246317,0.438,2026
37,North,NTK,6950,246317,2.822,2026
37,North,Others,1733,246317,0.704,2026
37,North,TVK,91350,246317,37.086,2026
38,North,AIADMK,50052,182340,27.45,2026
38,North,NOTA,899,182340,0.493,2026
38,North,NTK,5191,182340,2.847,2026
38,North,Others,1767,182340,0.969,2026
38,North,TVK,73776,182340,40.461,2026
38,North,VCK,50655,182340,27.781,2026
39,North,INC,57997,233684,24.819,2026
39,North,NOTA,572,233684,0.245,2026
39,North,NTK,6468,233684,2.768,2026
39,North,Others,5321,233684,2.277,2026
39,North,PMK,78820,233684,33.729,2026
39,North,TVK,84506,233684,36.163,2026
40,North,AIADMK,63998,203497,31.449,2026
40,North,DMK,62225,203497,30.578,2026
40,North,NOTA,745,203497,0.366,2026
40,North,NTK,4625,203497,2.273,2026
40,North,Others,2036,203497,1.001,2026
40,North,TVK,69868,203497,34.334,2026
41,North,BJP,32060,221038,14.504,2026
41,North,DMK,85362,221038,38.619,2026
41,North,NOTA,1209,221038,0.547,2026
41,North,NTK,7236,221038,3.274,2026
41,North,Others,4022,221038,1.82,2026
41,North,TVK,91149,221038,41.237,2026
42,North,AIADMK,105608,225786,46.773,2026
42,North,DMK,48840,225786,21.631,2026
42,North,NOTA,656,225786,0.291,2026
42,North,NTK,5518,225786,2.444,2026
42,North,Others,2276,225786,1.008,2026
42,North,TVK,62888,225786,27.853,2026
43,North,AIADMK,45458,190527,23.859,2026
43,North,DMK,66255,190527,34.775,2026
43,North,NOTA,757,190527,0.397,2026
43,North,NTK,3793,190527,1.991,2026
43,North,Others,1232,190527,0.647,2026
43,North,TVK,73032,190527,38.332,2026
44,North,AIADMK,76302,216318,35.273,2026
44,North,DMK,69221,216318,32.0,2026
44,North,NOTA,1103,216318,0.51,2026
44,North,NTK,4746,216318,2.194,2026
44,North,Others,1659,216318,0.767,2026
44,North,TVK,63287,216318,29.256,2026
45,North,AIADMK,54050,189892,28.464,2026
45,North,DMK,53898,189892,28.384,2026
45,North,NOTA,972,189892,0.512,2026
45,North,NTK,5183,189892,2.729,2026
45,North,Others,1484,189892,0.781,2026
45,North,TVK,74305,189892,39.13,2026
46,North,AIADMK,64122,229076,27.992,2026
46,North,NOTA,799,229076,0.349,2026
46,North,NTK,5802,229076,2.533,2026
46,North,Others,75495,229076,32.956,2026
46,North,TVK,82858,229076,36.171,2026
47,North,AIADMK,61055,212534,28.727,2026
47,North,NOTA,624,212534,0.294,2026
47,North,NTK,4849,212534,2.282,2026
47,North,Others,75807,212534,35.668,2026
47,North,TVK,70199,212534,33.03,2026
48,North,AIADMK,47100,195584,24.082,2026
48,North,DMK,74102,195584,37.888,2026
48,North,NOTA,468,195584,0.239,2026
48,North,NTK,4185,195584,2.14,2026
48,North,Others,2758,195584,1.41,2026
48,North,TVK,66971,195584,34.242,2026
49,North,AIADMK,78633,213042,36.91,2026
49,North,DMK,61977,213042,29.091,2026
49,North,NOTA,695,213042,0.326,2026
49,North,NTK,5974,213042,2.804,2026
49,North,Others,3213,213042,1.508,2026
49,North,TVK,62550,213042,29.36,2026
50,North,DMK,56835,202925,28.008,2026
50,North,NOTA,464,202925,0.229,2026
50,North,NTK,5482,202925,2.701,2026
50,North,Others,35046,202925,17.27,2026
50,North,TVK,105098,202925,51.792,2026
51,North,AIADMK,65003,205530,31.627,2026
51,North,INC,60993,205530,29.676,2026
51,North,NOTA,881,205530,0.429,2026
51,North,NTK,6629,205530,3.225,2026
51,North,Others,1823,205530,0.887,2026
51,North,TVK,70201,205530,34.156,2026
52,North,AIADMK,71240,213960,33.296,2026
52,North,DMK,65228,213960,30.486,2026
52,North,NOTA,631,213960,0.295,2026
52,North,NTK,5462,213960,2.553,2026
52,North,Others,4400,213960,2.056,2026
52,North,TVK,66999,213960,31.314,2026
53,North,AIADMK,70530,230181,30.641,2026
53,North,INC,59597,230181,25.891,2026
53,North,NOTA,1136,230181,0.494,2026
53,North,NTK,6398,230181,2.78,2026
53,North,Others,3146,230181,1.367,2026
53,North,TVK,89374,230181,38.828,2026
54,North,AIADMK,74553,222608,33.491,2026
54,North,DMK,74691,222608,33.553,2026
54,North,NOTA,1570,222608,0.705,2026
54,North,NTK,4519,222608,2.03,2026
54,North,Others,3368,222608,1.513,2026
54,North,TVK,63907,222608,28.708,2026
55,North,AIADMK,109867,277770,39.553,2026
55,North,DMK,73773,277770,26.559,2026
55,North,NOTA,1614,277770,0.581,2026
55,North,NTK,7632,277770,2.748,2026
55,North,Others,2820,277770,1.015,2026
55,North,TVK,82064,277770,29.544,2026
56,North,BJP,73043,205878,35.479,2026
56,North,CPI,78283,205878,38.024,2026
56,North,NOTA,1550,205878,0.753,2026
56,North,NTK,4107,205878,1.995,2026
56,North,Others,3650,205878,1.773,2026
56,North,TVK,45245,205878,21.977,2026
57,North,AIADMK,102807,225257,45.64,2026
57,North,DMK,50043,225257,22.216,2026
57,North,NOTA,1292,225257,0.574,2026
57,North,NTK,5598,225257,2.485,2026
57,North,Others,1752,225257,0.778,2026
57,North,TVK,63765,225257,28.308,2026
58,North,INC,53901,228666,23.572,2026
58,North,NOTA,674,228666,0.295,2026
58,North,NTK,7358,228666,3.218,2026
58,North,Others,7418,228666,3.244,2026
58,North,PMK,78075,228666,34.144,2026
58,North,TVK,81240,228666,35.528,2026
59,North,NOTA,941,238579,0.394,2026
59,North,NTK,6758,238579,2.833,2026
59,North,Others,64350,238579,26.972,2026
59,North,PMK,93713,238579,39.28,2026
59,North,TVK,72817,238579,30.521,2026
60,North,AIADMK,101829,236621,43.035,2026
60,North,DMK,68715,236621,29.04,2026
60,North,NOTA,677,236621,0.286,2026
60,North,NTK,5216,236621,2.204,2026
60,North,Others,2565,236621,1.084,2026
60,North,TVK,57619,236621,24.351,2026
61,North,AIADMK,75523,220042,34.322,2026
61,North,DMK,72194,220042,32.809,2026
61,North,NOTA,782,220042,0.355,2026
61,North,NTK,5245,220042,2.384,2026
61,North,Others,3542,220042,1.61,2026
61,North,TVK,62756,220042,28.52,2026
62,North,AIADMK,87802,242897,36.148,2026
62,North,DMK,70346,242897,28.961,2026
62,North,NOTA,1114,242897,0.459,2026
62,North,NTK,6335,242897,2.608,2026
62,North,Others,2776,242897,1.143,2026
62,North,TVK,74524,242897,30.681,2026
63,North,BJP,34280,220066,15.577,2026
63,North,DMK,88273,220066,40.112,2026
63,North,NOTA,785,220066,0.357,2026
63,North,NTK,6011,220066,2.731,2026
63,North,Others,4899,220066,2.226,2026
63,North,TVK,85818,220066,38.996,2026
64,North,AIADMK,90503,219790,41.177,2026
64,North,DMK,60038,219790,27.316,2026
64,North,NOTA,440,219790,0.2,2026
64,North,NTK,6184,219790,2.814,2026
64,North,Others,3495,219790,1.59,2026
64,North,TVK,59130,219790,26.903,2026
65,North,AIADMK,89629,214127,41.858,2026
65,North,DMK,62889,214127,29.37,2026
65,North,NOTA,423,214127,0.198,2026
65,North,NTK,5312,214127,2.481,2026
65,North,Others,4208,214127,1.965,2026
65,North,TVK,51666,214127,24.129,2026
66,North,NOTA,798,211743,0.377,2026
66,North,NTK,6425,211743,3.034,2026
66,North,Others,75115,211743,35.475,2026
66,North,PMK,61444,211743,29.018,2026
66,North,TVK,67961,211743,32.096,2026
67,North,AIADMK,76735,230162,33.34,2026
67,North,DMK,71104,230162,30.893,2026
67,North,NOTA,707,230162,0.307,2026
67,North,NTK,6888,230162,2.993,2026
67,North,Others,3871,230162,1.682,2026
67,North,TVK,70857,230162,30.786,2026
68,North,AIADMK,86680,222570,38.945,2026
68,North,DMK,59894,222570,26.91,2026
68,North,NOTA,950,222570,0.427,2026
68,North,NTK,7043,222570,3.164,2026
68,North,Others,2404,222570,1.08,2026
68,North,TVK,65599,222570,29.473,2026
69,North,AIADMK,60472,191204,31.627,2026
69,North,DMK,63805,191204,33.37,2026
69,North,NOTA,988,191204,0.517,2026
69,North,NTK,5495,191204,2.874,2026
69,North,Others,2270,191204,1.187,2026
69,North,TVK,58174,191204,30.425,2026
70,Central,DMK,65556,216652,30.259,2026
70,Central,NOTA,508,216652,0.234,2026
70,Central,NTK,6371,216652,2.941,2026
70,Central,Others,4407,216652,2.034,2026
70,Central,PMK,78201,216652,36.095,2026
70,Central,TVK,61609,216652,28.437,2026
71,Central,AIADMK,82353,189221,43.522,2026
71,Central,NOTA,299,189221,0.158,2026
71,Central,NTK,4383,189221,2.316,2026
71,Central,Others,49874,189221,26.358,2026
71,Central,TVK,52312,189221,27.646,2026
72,Central,AIADMK,63099,196026,32.189,2026
72,Central,NOTA,714,196026,0.364,2026
72,Central,NTK,5242,196026,2.674,2026
72,Central,Others,1979,196026,1.01,2026
72,Central,TVK,61159,196026,31.199,2026
72,Central,VCK,63833,196026,32.564,2026
73,Central,AIADMK,54193,192119,28.208,2026
73,Central,DMK,68873,192119,35.849,2026
73,Central,NOTA,519,192119,0.27,2026
73,Central,NTK,4697,192119,2.445,2026
73,Central,Others,1998,192119,1.04,2026
73,Central,TVK,61839,192119,32.188,2026
74,Central,AIADMK,63808,215422,29.62,2026
74,Central,DMK,72982,215422,33.879,2026
74,Central,NOTA,573,215422,0.266,2026
74,Central,NTK,5786,215422,2.686,2026
74,Central,Others,3410,215422,1.583,2026
74,Central,TVK,68863,215422,31.967,2026
75,Central,DMK,60941,209231,29.126,2026
75,Central,NOTA,401,209231,0.192,2026
75,Central,NTK,4979,209231,2.38,2026
75,Central,Others,4366,209231,2.087,2026
75,Central,PMK,69727,209231,33.325,2026
75,Central,TVK,68817,209231,32.89,2026
76,Central,AIADMK,73033,217318,33.607,2026
76,Central,DMK,62452,217318,28.738,2026
76,Central,NOTA,500,217318,0.23,2026
76,Central,NTK,5791,217318,2.665,2026
76,Central,Others,2794,217318,1.286,2026
76,Central,TVK,72748,217318,33.475,2026
77,Central,AIADMK,96194,271002,35.496,2026
77,Central,DMK,98471,271002,36.336,2026
77,Central,NOTA,1051,271002,0.388,2026
77,Central,NTK,6525,271002,2.408,2026
77,Central,Others,2553,271002,0.942,2026
77,Central,TVK,66208,271002,24.431,2026
78,Central,DMK,89711,244795,36.647,2026
78,Central,NOTA,534,244795,0.218,2026
78,Central,NTK,7247,244795,2.96,2026
78,Central,Others,5966,244795,2.437,2026
78,Central,PMK,56488,244795,23.076,2026
78,Central,TVK,84849,244795,34.661,2026
79,Central,AIADMK,80250,235528,34.072,2026
79,Central,DMK,76810,235528,32.612,2026
79,Central,NOTA,383,235528,0.163,2026
79,Central,NTK,5567,235528,2.364,2026
79,Central,Others,4894,235528,2.078,2026
79,Central,TVK,67624,235528,28.712,2026
80,Central,AIADMK,80334,249626,32.182,2026
80,Central,NOTA,883,249626,0.354,2026
80,Central,NTK,7494,249626,3.002,2026
80,Central,Others,2117,249626,0.848,2026
80,Central,TVK,81132,249626,32.501,2026
80,Central,VCK,77666,249626,31.113,2026
81,Central,AIADMK,73167,196679,37.201,2026
81,Central,DMK,58763,196679,29.878,2026
81,Central,NOTA,731,196679,0.372,2026
81,Central,NTK,6242,196679,3.174,2026
81,Central,Others,2485,196679,1.263,2026
81,Central,TVK,55291,196679,28.112,2026
82,Central,AIADMK,80843,208296,38.812,2026
82,Central,INC,51896,208296,24.915,2026
82,Central,NOTA,1031,208296,0.495,2026
82,Central,NTK,6532,208296,3.136,2026
82,Central,Others,2469,208296,1.185,2026
82,Central,TVK,65525,208296,31.458,2026
83,Central,AIADMK,87772,253592,34.612,2026
83,Central,DMK,68045,253592,26.832,2026
83,Central,NOTA,1250,253592,0.493,2026
83,Central,NTK,7601,253592,2.997,2026
83,Central,Others,3341,253592,1.317,2026
83,Central,TVK,85583,253592,33.748,2026
84,Central,AIADMK,112246,271119,41.401,2026
84,Central,NOTA,1433,271119,0.529,2026
84,Central,NTK,8370,271119,3.087,2026
84,Central,Others,51363,271119,18.945,2026
84,Central,TVK,97707,271119,36.038,2026
85,Central,AIADMK,86498,231105,37.428,2026
85,Central,DMK,67393,231105,29.161,2026
85,Central,NOTA,794,231105,0.344,2026
85,Central,NTK,7109,231105,3.076,2026
85,Central,Others,4051,231105,1.753,2026
85,Central,TVK,65260,231105,28.238,2026
86,Central,AIADMK,148933,258263,57.667,2026
86,Central,DMK,44011,258263,17.041,2026
86,Central,NOTA,1341,258263,0.519,2026
86,Central,NTK,8450,258263,3.272,2026
86,Central,Others,55528,258263,21.501,2026
87,Central,AIADMK,87342,243779,35.828,2026
87,Central,DMK,65716,243779,26.957,2026
87,Central,NOTA,711,243779,0.292,2026
87,Central,NTK,7534,243779,3.091,2026
87,Central,Others,4651,243779,1.908,2026
87,Central,TVK,77825,243779,31.924,2026
88,Central,NOTA,1052,234407,0.449,2026
88,Central,NTK,6820,234407,2.909,2026
88,Central,Others,60588,234407,25.847,2026
88,Central,PMK,45540,234407,19.428,2026
88,Central,TVK,120407,234407,51.367,2026
89,Central,DMK,71676,210712,34.016,2026
89,Central,NOTA,1205,210712,0.572,2026
89,Central,NTK,6450,210712,3.061,2026
89,Central,Others,1433,210712,0.68,2026
89,Central,PMK,44238,210712,20.995,2026
89,Central,TVK,85710,210712,40.676,2026
90,Central,AIADMK,50216,207902,24.154,2026
90,Central,DMK,58002,207902,27.899,2026
90,Central,NOTA,745,207902,0.358,2026
90,Central,NTK,5819,207902,2.799,2026
90,Central,Others,1749,207902,0.841,2026
90,Central,TVK,91371,207902,43.949,2026
91,Central,AIADMK,75836,235875,32.151,2026
91,Central,DMK,69296,235875,29.378,2026
91,Central,NOTA,594,235875,0.252,2026
91,Central,NTK,6820,235875,2.891,2026
91,Central,Others,3422,235875,1.451,2026
91,Central,TVK,79907,235875,33.877,2026
92,Central,BJP,60297,204680,29.459,2026
92,Central,DMK,57854,204680,28.266,2026
92,Central,NOTA,863,204680,0.422,2026
92,Central,NTK,6415,204680,3.134,2026
92,Central,Others,4443,204680,2.171,2026
92,Central,TVK,74808,204680,36.549,2026
93,Central,AIADMK,66160,209687,31.552,2026
93,Central,DMK,64951,209687,30.975,2026
93,Central,NOTA,1211,209687,0.578,2026
93,Central,NTK,6478,209687,3.089,2026
93,Central,Others,2072,209687,0.988,2026
93,Central,TVK,68815,209687,32.818,2026
94,Central,AIADMK,68736,212283,32.379,2026
94,Central,DMK,52808,212283,24.876,2026
94,Central,NOTA,760,212283,0.358,2026
94,Central,NTK,6286,212283,2.961,2026
94,Central,Others,3949,212283,1.86,2026
94,Central,TVK,79744,212283,37.565,2026
95,Central,AIADMK,61349,188845,32.486,2026
95,Central,DMK,61041,188845,32.323,2026
95,Central,NOTA,449,188845,0.238,2026
95,Central,NTK,5727,188845,3.033,2026
95,Central,Others,4212,188845,2.23,2026
95,Central,TVK,56067,188845,29.689,2026
96,Central,AIADMK,51328,191122,26.856,2026
96,Central,DMK,49465,191122,25.881,2026
96,Central,NOTA,520,191122,0.272,2026
96,Central,NTK,6085,191122,3.184,2026
96,Central,Others,4224,191122,2.21,2026
96,Central,TVK,79500,191122,41.596,2026
97,Central,AIADMK,73483,205324,35.789,2026
97,Central,DMK,39993,205324,19.478,2026
97,Central,NOTA,665,205324,0.324,2026
97,Central,NTK,7663,205324,3.732,2026
97,Central,Others,2341,205324,1.14,2026
97,Central,TVK,81179,205324,39.537,2026
98,Kongu,AIADMK,38183,162453,23.504,2026
98,Kongu,INC,45781,162453,28.181,2026
98,Kongu,NOTA,879,162453,0.541,2026
98,Kongu,NTK,4987,162453,3.07,2026
98,Kongu,Others,2876,162453,1.77,2026
98,Kongu,TVK,69747,162453,42.934,2026
99,Kongu,BJP,38185,221400,17.247,2026
99,Kongu,DMK,74586,221400,33.688,2026
99,Kongu,NOTA,1257,221400,0.568,2026
99,Kongu,NTK,8124,221400,3.669,2026
99,Kongu,Others,2412,221400,1.089,2026
99,Kongu,TVK,96836,221400,43.738,2026
100,Kongu,BJP,58285,190759,30.554,2026
100,Kongu,DMK,58236,190759,30.529,2026
100,Kongu,NOTA,925,190759,0.485,2026
100,Kongu,NTK,6723,190759,3.524,2026
100,Kongu,Others,5875,190759,3.08,2026
100,Kongu,TVK,60715,190759,31.828,2026
101,Kongu,AIADMK,81100,199944,40.561,2026
101,Kongu,DMK,64373,199944,32.196,2026
101,Kongu,NOTA,1058,199944,0.529,2026
101,Kongu,NTK,6026,199944,3.014,2026
101,Kongu,Others,949,199944,0.475,2026
101,Kongu,TVK,46438,199944,23.226,2026
102,Kongu,AIADMK,71122,203534,34.944,2026
102,Kongu,DMK,59230,203534,29.101,2026
102,Kongu,NOTA,706,203534,0.347,2026
102,Kongu,NTK,7068,203534,3.473,2026
102,Kongu,Others,2419,203534,1.188,2026
102,Kongu,TVK,62989,203534,30.948,2026
103,Kongu,AIADMK,70302,200686,35.031,2026
103,Kongu,DMK,60609,200686,30.201,2026
103,Kongu,NOTA,812,200686,0.405,2026
103,Kongu,NTK,6468,200686,3.223,2026
103,Kongu,Others,3012,200686,1.501,2026
103,Kongu,TVK,59483,200686,29.64,2026
104,Kongu,AIADMK,75577,208323,36.279,2026
104,Kongu,DMK,54087,208323,25.963,2026
104,Kongu,NOTA,1409,208323,0.676,2026
104,Kongu,NTK,6195,208323,2.974,2026
104,Kongu,Others,2874,208323,1.38,2026
104,Kongu,TVK,68181,208323,32.729,2026
105,Kongu,AIADMK,60042,185775,32.32,2026
105,Kongu,DMK,58782,185775,31.642,2026
105,Kongu,NOTA,754,185775,0.406,2026
105,Kongu,NTK,5287,185775,2.846,2026
105,Kongu,Others,4538,185775,2.443,2026
105,Kongu,TVK,56372,185775,30.344,2026
106,Kongu,AIADMK,56232,219727,25.592,2026
106,Kongu,DMK,65992,219727,30.034,2026
106,Kongu,NOTA,907,219727,0.413,2026
106,Kongu,NTK,8137,219727,3.703,2026
106,Kongu,Others,5847,219727,2.661,2026
106,Kongu,TVK,82612,219727,37.598,2026
107,Kongu,AIADMK,67822,214595,31.605,2026
107,Kongu,CPI,63107,214595,29.407,2026
107,Kongu,NOTA,1804,214595,0.841,2026
107,Kongu,NTK,5832,214595,2.718,2026
107,Kongu,Others,3639,214595,1.696,2026
107,Kongu,TVK,72391,214595,33.734,2026
