Column2,Column11,Column12
AC NO.,POSTAL,TOTAL
31,31,19494
31,13,4207
31,8,2284
31,3,1351
31,3,317
31,0,264
31,0,247
31,3,215
31,0,199
31,1,169
31,2,151
31,0,122
31,1,117
31,3,88
31,0,73
31,0,71
31,0,64
31,3,56
31,1,47
31,0,46
32,1256,130573
32,347,103908
32,55,26868
32,13,4146
32,17,3075
32,6,3069
32,0,684
32,1,404
32,1,344
32,3,317
32,0,233
32,0,195
32,1,142
32,0,129
33,967,93954
33,619,92007
33,74,20428
33,69,8194
33,33,7662
33,11,1982
33,6,1135
33,0,367
33,3,271
33,2,268
33,1,268
33,3,193
34,1217,82750
34,564,78708
34,85,9653
34,28,3054
34,41,1968
34,14,1141
34,4,964
34,1,403
34,16,263
34,1,216
35,855,86646
35,1337,83076
35,44,9293
35,7,2137
35,12,1488
35,2,1371
35,6,639
35,0,587
35,2,251
35,0,233
35,1,121
36,1266,93427
36,678,91805
36,85,11405
36,30,7211
36,23,2100
36,6,952
36,1,753
36,2,602
36,0,448
36,1,333
36,1,306
36,6,304
36,1,141
36,2,136
36,0,104
36,13,104
36,1,101
36,3,85
36,1,82
36,0,66
36,0,64
37,1798,102712
37,727,91117
37,117,13946
37,92,12028
37,18,2534
37,18,2301
37,26,2055
37,8,1193
37,3,417
37,7,242
37,1,196
37,0,159
37,14,158
37,0,133
37,1,127
37,17,112
38,342,85399
38,885,58230
38,70,14631
38,30,4777
38,21,3543
38,9,1825
38,8,1656
38,0,432
38,1,285
38,0,184
38,0,128
38,2,113
38,3,112
38,1,97
39,1090,110228
39,611,83530
39,102,12979
39,76,9656
39,15,1664
39,5,1239
39,1,1015
39,3,614
39,2,587
39,3,467
39,0,466
39,3,372
39,0,326
39,0,222
39,1,205
39,0,174
39,1,132
39,0,121
39,1,112
40,1897,85140
40,719,84394
40,124,10449
40,37,1889
40,7,1066
40,12,1003
40,3,551
40,6,374
40,0,332
40,3,224
40,16,193
40,3,166
40,2,144
40,0,144
40,0,99
40,3,78
41,1018,103291
