ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes
95,PARAMATHI-VELUR,Shailaja,tavk,U,444,FD,189019,188396
95,PARAMATHI-VELUR,Bakkiam P,AADMSK,U,116,FD,189019,188396
95,PARAMATHI-VELUR,Parameshwari S,IND,IND,192,FD,189019,188396
95,PARAMATHI-VELUR,Latha A,IND,IND,90,FD,189019,188396
96,TIRUCHENGODU,Revathi K,NTK,S,6085,FD,191217,190602
97,KUMARAPALAYAM,Uvarani Suresh,NTK,S,7663,FD,205359,204659
97,KUMARAPALAYAM,C.vijayalakshmi,TVK,U,81179,W,205359,204659
98,ERODE (EAST),B.chitra,BSP,N,256,FD,162573,161574
98,ERODE (EAST),Nathiya.s,IND,IND,136,FD,162573,161574
99,ERODE (WEST),V. Dhanalakshmi,tavk,U,163,FD,222437,220143
99,ERODE (WEST),M. Rukmani,SMKNK,U,118,FD,222437,220143
100,MODAKKURICHI,S.kirthika,BJP,N,58285,L,190905,189834
100,MODAKKURICHI,L.bharathi,IND,IND,585,FD,190905,189834
101,DHARAPURAM,Indirani.t,DMK,S,64373,L,200101,198886
101,DHARAPURAM,Sathyabama.p,ADMK,S,81100,W,200101,198886
101,DHARAPURAM,Dhivya,NTK,S,6026,FD,200101,198886
101,DHARAPURAM,Gowri Chitra,TVK,U,46438,L,200101,198886
101,DHARAPURAM,Ananthi.s,IND,IND,151,FD,200101,198886
101,DHARAPURAM,Indhirani.c,IND,IND,142,FD,200101,198886
101,DHARAPURAM,Gowri.p,IND,IND,125,FD,200101,198886
101,DHARAPURAM,Rohini.s,IND,IND,357,FD,200101,198886
102,KANGAYAM,R.vijayalakshmi,GPI,U,176,FD,203782,202828
103,PERUNDURAI,Valarmathi. P,SMKNK,U,77,FD,201079,199874
104,BHAVANI,Mohanadevi. R,NTK,S,6195,FD,208464,206914
105,ANTHIYUR,Aalangattur Anandhi,NTK,S,5287,FD,185970,185021
105,ANTHIYUR,Selvi.a,IND,IND,176,FD,185970,185021
106,GOBICHETTIPALAYAM,Seethalakshmi.m.k,NTK,S,8137,FD,219988,218820
106,GOBICHETTIPALAYAM,Malarvizhi,PFTROOBC,U,197,FD,219988,218820
106,GOBICHETTIPALAYAM,Seetha.r,IND,IND,139,FD,219988,218820
106,GOBICHETTIPALAYAM,Sumathi.g,IND,IND,332,FD,219988,218820
106,GOBICHETTIPALAYAM,Bhuvaneshwari.a,IND,IND,499,FD,219988,218820
107,BHAVANISAGAR,S.soundarya,NTK,S,5832,FD,214838,212791
107,BHAVANISAGAR,V.p.tamilselvi,TVK,U,72391,W,214838,212791
108,UDHAGAMANDALAM,Saveetha.r,tavk,U,418,FD,149032,147179
110,COONOOR,K. Deenu,NTK,S,4695,FD,141719,140674
111,METTUPPALAYAM,Smt.kavitha Kalyanasundaram,DMK,S,67896,L,244535,243480
111,METTUPPALAYAM,R.sangeetha,NADLMMKLK,U,356,FD,244535,243480
111,METTUPPALAYAM,S.kavitha,IND,IND,263,FD,244535,243480
111,METTUPPALAYAM,A.sathiyaleela,IND,IND,238,FD,244535,243480
112,AVANASHI,Dr. Gokilamani.v,DMK,S,65530,L,231948,230037
112,AVANASHI,Menaka. V,NTK,S,7704,FD,231948,230037
112,AVANASHI,Kamali.s,TVK,U,84209,W,231948,230037
112,AVANASHI,Anandhi.s,IND,IND,235,FD,231948,230037
112,AVANASHI,Gokilamani. M,IND,IND,652,FD,231948,230037
113,TIRUPPUR (NORTH),R.abinaya,NTK,S,13157,FD,263576,262379
113,TIRUPPUR (NORTH),V.sathyabama,TVK,U,131401,W,263576,262379
114,TIRUPPUR (SOUTH),Malarvizhi. G,IDMK,U,170,FD,179929,179170
114,TIRUPPUR (SOUTH),Karthikadevi. K,IND,IND,45,FD,179929,179170
114,TIRUPPUR (SOUTH),Vasanthamani. K,IND,IND,142,FD,179929,179170
116,SULUR,Pappa Muthulakshmi.p.,AIPTMMK,U,216,FD,273735,272191
117,KAVUNDAMPALAYAM,Kalamani Jaganathan,NTK,S,16834,FD,364242,361875
117,KAVUNDAMPALAYAM,Kanimozhi Santhosh,TVK,U,146466,W,364242,361875
117,KAVUNDAMPALAYAM,Malliga.m,AIPTMMK,U,314,FD,364242,361875
117,KAVUNDAMPALAYAM,Kanimozhi.k,IND,IND,567,FD,364242,361875
118,COIMBATORE (NORTH),Narmadha. G.,NTK,S,9036,FD,226267,225089
118,COIMBATORE (NORTH),Vanathi Srinivasan,BJP,N,49722,L,226267,225089
119,THONDAMUTHUR,Rajabu Nisha.z,NTK,S,6976,FD,258823,257549
119,THONDAMUTHUR,Kalaivani.s,IND,IND,125,FD,258823,257549
119,THONDAMUTHUR,Kowsalya.v,IND,IND,77,FD,258823,257549
119,THONDAMUTHUR,Deepa.g.s,IND,IND,195,FD,258823,257549
119,THONDAMUTHUR,Balamani.v,IND,IND,304,FD,258823,257549
119,THONDAMUTHUR,Vijaya.k,IND,IND,183,FD,258823,257549
121,SINGANALLUR,V.srinidhi,INC,N,65024,L,221138,219687
121,SINGANALLUR,Uma Paramasivam,IND,IND,115,FD,221138,219687
121,SINGANALLUR,P.tamilselvi,IND,IND,174,FD,221138,219687
121,SINGANALLUR,Vasanthi,IND,IND,59,FD,221138,219687
