ac_number,male_electors_26,female_electors_26,tg_electors_26,total_electors_26,male_voters_26,female_voters_26,tg_voters_26,total_voters_26,turnout_26
147,141002,149700,29,290731,115470,134134,24,253860,87.32
148,132377,135775,3,268155,103522,123985,3,230664,86.02
149,130401,132739,16,263156,111656,122325,12,236042,89.7
150,130779,133071,12,263862,107758,118439,7,228895,86.75
151,102749,106253,4,209006,79002,94984,3,175947,84.18
152,119709,121113,22,240844,98867,108198,11,209448,86.96
153,95570,95751,16,191337,82419,84119,9,169049,88.35
154,117312,124455,72,241839,100568,107513,52,211015,87.25
155,106273,116890,80,223243,88144,98630,60,190656,85.4
156,116933,121308,46,238287,102332,109390,30,214326,89.94
157,115865,117469,19,233353,99730,104970,10,207463,88.91
158,113648,117647,30,231325,91541,101844,16,197092,85.2
159,112652,113847,10,226509,88678,96949,4,188220,83.1
160,119650,121769,13,241432,94395,104422,8,200546,83.07
161,115519,119077,26,234622,89534,97124,19,188691,80.42
162,128012,131312,8,259332,102364,115581,6,219814,84.76
163,85318,89396,22,174736,69937,79983,17,151512,86.71
164,84174,86452,7,170633,71761,78177,3,151750,88.93
165,92434,95092,1,187527,73881,85501,1,162476,86.64
166,111654,115273,13,226940,88516,100696,8,191133,84.22
167,113724,120826,4,234554,87861,104495,2,194170,82.78
168,127141,132984,20,260145,101446,114494,7,218012,83.8
169,132488,135074,14,267576,109330,120255,3,231592,86.55
170,126301,130705,8,257014,99126,108526,3,209468,81.5
171,123565,130803,15,254383,98465,107686,6,208378,81.92
172,124835,131759,23,256617,96781,109352,8,207867,81
173,126442,132135,20,258597,106908,113049,9,222215,85.93
174,120469,132322,50,252841,92142,103717,33,199040,78.72
175,113523,120229,6,233758,88018,105546,2,195475,83.62
176,116063,126368,20,242451,80047,102391,7,184152,75.95
177,104814,109145,15,213974,80711,94224,6,176446,82.46
178,98651,97444,9,196104,79954,86234,4,167870,85.6
179,110937,114188,34,225159,96379,105740,32,203999,90.6
180,110873,115114,22,226009,89038,99115,16,190615,84.34
181,107642,112977,3,220622,82050,99315,3,182792,82.85
182,104833,107306,0,212139,82581,96333,0,180598,85.13
183,113235,116597,2,229834,83069,97891,1,182792,79.53
184,149478,156617,29,306124,103529,123453,15,229625,75.01
185,135526,140469,4,275999,95904,117835,2,216016,78.27
186,136503,142103,3,278609,94445,116940,0,214716,77.07
187,128154,132042,7,260203,95712,109493,2,209091,80.36
188,114265,115785,11,230061,86585,102395,3,190822,82.94
189,164049,172632,57,336738,129707,138577,28,272000,80.77
190,105847,109489,12,215348,91217,95865,6,189224,87.87
191,107562,113714,50,221326,77515,82207,28,161891,73.15
192,88345,91609,49,180003,69089,71609,3,141598,78.66
193,97051,102648,26,199725,71990,75495,15,148709,74.46
194,135219,140458,12,275689,104392,109850,6,216866,78.66
195,152686,158988,31,311705,123550,129783,14,255946,82.11
196,128372,134567,9,262948,108399,118821,5,231544,88.06
197,134096,133865,8,267969,107313,113527,4,224679,83.85
198,126975,130992,30,257997,103106,111509,12,217699,84.38
199,130120,136340,110,266570,101761,106962,61,211514,79.35
200,128663,135707,16,264386,103602,114344,6,221116,83.63
201,124942,132359,22,257323,98781,108943,7,211077,82.03
202,104592,110021,33,214646,86150,94608,22,183212,85.36
203,109704,115160,39,224903,90792,99596,27,193627,86.09
204,112159,117928,62,230149,93451,102942,47,199039,86.48
205,110989,117448,28,228465,92408,99545,12,193594,84.74
206,97702,103195,41,200938,79370,86662,24,168517,83.87
207,101021,107118,29,208168,83014,93101,14,178698,85.84
208,101535,104131,15,205681,86223,92852,10,181638,88.31
209,116769,118322,18,235109,85972,100767,12,190014,80.82
210,141198,142909,23,284130,98602,119551,10,220448,77.59
211,153584,158866,13,312463,106892,128695,5,237696,76.07
212,149600,150100,2,299702,106926,121388,1,231373,77.2
213,100955,104494,16,205465,82816,89728,12,175030,85.19
