ac_number,male_electors_21,female_electors_21,tg_electors_21,total_electors_21,male_voters_21,female_voters_21,tg_voters_21,total_voters_21,turnout_21
165,94518,98252,0,192770,73336,81951,0,158245,82.09
166,117615,122454,3,240072,88033,96108,0,186035,77.49
167,126007,134025,10,260042,90908,102341,0,195195,75.06
168,137333,145343,32,282708,99492,106963,5,208481,73.74
169,135717,136564,24,272305,107506,113172,3,222249,81.62
170,128666,130837,15,259518,96264,100563,4,198592,76.52
171,133238,139844,15,273097,95510,99754,2,197640,72.37
172,127408,133517,16,260941,93886,101108,4,197097,75.53
173,130831,137740,19,268590,103178,106437,2,211969,78.92
174,139150,151729,57,290936,92226,98835,32,194976,67.02
175,118562,125182,3,243747,88929,101851,0,192622,79.03
176,117875,127963,25,245863,79871,96601,2,178265,72.51
177,108041,112111,10,220162,79830,89703,0,170896,77.62
178,101112,100476,19,201607,77034,79074,11,157631,78.19
179,111135,114038,16,225189,92987,99341,2,194591,86.41
180,119329,124679,21,244029,86107,91839,6,180798,74.09
181,111348,116532,3,227883,79459,93336,1,174081,76.39
182,107189,110151,4,217344,80135,90228,0,171868,79.08
183,117375,119643,6,237024,78851,87834,0,168075,70.91
184,155920,161308,48,317276,98110,111857,6,213548,67.31
185,142890,148869,12,291771,96289,113690,0,212415,72.8
186,148306,152854,3,301163,91771,107511,1,202839,67.35
187,137657,140947,1,278605,95484,104662,1,203497,73.04
188,121016,123978,2,244996,86034,95748,2,183335,74.83
189,161715,167444,50,329209,116556,118080,9,237945,72.28
190,107953,110767,10,218730,86261,87429,4,175416,80.2
191,119186,124374,36,243596,77354,77450,12,156860,64.39
192,113252,116855,26,230133,73821,73045,10,147964,64.29
193,118170,123726,17,241913,75105,72967,6,149549,61.82
194,151603,155534,4,307141,100233,99593,0,202119,65.81
195,158185,163276,40,321501,116618,117087,4,236289,73.5
196,136826,142763,9,279598,105452,111601,3,220953,79.03
197,144261,142182,10,286453,103599,106469,1,212966,74.35
198,138216,140094,34,278344,101609,105539,4,209872,75.4
199,140344,145022,105,285471,98890,100142,36,202198,70.83
200,136967,141827,21,278815,103160,108683,4,215197,77.18
201,141663,146561,38,288262,96871,102364,1,202780,70.35
202,116852,122580,29,239461,84915,91662,3,178996,74.75
203,122432,128176,32,250640,88562,94127,5,185831,74.14
204,123253,130081,29,253363,91642,98170,3,192001,75.78
205,127640,134142,27,261809,90160,93105,2,185108,70.7
206,109582,114471,46,224099,78205,81254,7,161777,72.19
207,108683,115120,17,223820,81295,87683,2,171961,76.83
208,108645,112764,12,221421,83573,87662,2,172953,78.11
209,127088,129054,16,256158,84296,94652,3,182445,71.22
210,145716,145499,21,291236,91926,107948,2,202317,69.47
211,152841,155581,21,308443,98614,113580,1,214548,69.56
212,155883,155066,5,310954,103031,115099,1,221325,71.18
213,106370,110548,5,216923,79954,85728,3,168006,77.45
214,139542,145901,54,285497,93422,92134,13,188693,66.09
215,118928,126199,17,245144,82523,89127,11,174876,71.34
216,110729,113956,4,224689,79642,82675,2,165414,73.62
217,123519,128050,28,251597,86191,88884,9,177926,70.72
218,130639,135955,31,266625,86266,93029,6,182221,68.34
219,123822,130416,5,254243,87061,94051,0,183758,72.28
220,119173,122574,1,241748,82535,90752,0,175889,72.76
221,144445,145982,5,290432,95732,107932,0,205990,70.93
222,143662,148859,17,292538,103570,107946,3,214490,73.32
223,126535,134146,7,260688,97721,103854,3,203484,78.06
224,143068,149286,57,292411,96813,98540,24,197995,67.71
225,119071,125928,4,245003,84861,91372,1,178361,72.8
226,134129,139408,20,273557,78287,79548,1,161357,58.98
227,136628,141228,9,277865,92795,97633,1,193137,69.51
228,133143,137603,14,270760,88066,96329,2,187651,69.31
229,145894,147651,112,293657,107912,113215,7,225573,76.82
230,133909,136925,11,270845,90207,91075,2,184444,68.1
231,137311,131961,15,269287,89276,91149,0,183747,68.23
232,122413,118412,28,240853,82491,85054,1,171599,71.25
233,123622,126416,27,250065,81342,84317,0,168593,67.42
234,129688,125640,19,255347,82234,84524,0,170395,66.73
